Aromatic,Substituent,Sub_Type,Smiles
Benzene,SF5,EWG,IC1=CC=C(S(F)(F)(F)(F)F)C=C1
Benzene,NO2,EWG,O=N(=O)c1ccc(I)cc1
Benzene,CN,EWG,N#Cc1ccc(I)cc1
Benzene,CF3,EWG,FC(F)(F)c1ccc(I)cc1
Benzene,SO3,EWG,FC(F)(F)c1ccc(I)cc1
Benzene,CONH2,EWG,NC(=O)c1ccc(I)cc1
Benzene,COOH,EWG,O=C(O)c1ccc(I)cc1
Benzene,NCH3+,EWG,C[N+](C)(C)c1ccc(I)cc1
Benzene,NMe2,EDG,CN(C)c1ccc(I)cc1
Benzene,NH2,EDG,Nc1ccc(I)cc1
Benzene,OH,EDG,CN(C)c1ccc(I)cc1
Benzene,CH3,EDG,CN(C)c1ccc(I)cc1
Benzene,OTMS,EDG,C[Si](C)(C)OC1=CC=C(I)C=C1
Benzene,NHCONH2,EDG,NC(=O)Nc1ccc(I)cc1
Benzene,CCH33,EDG,CC(C)(C)c1ccc(I)cc1
Benzene,OPh,EDG,IC1=CC=C(OC2=CC=CC=C2)C=C1
Pyrimidine,SF5,EWG,IC1=CN=C(S(F)(F)(F)(F)F)N=C1
Pyrimidine,NO2,EWG,O=N(=O)c1cnc(I)nc1
Pyrimidine,CN,EWG,N#Cc1cnc(I)nc1
Pyrimidine,CF3,EWG,FC(F)(F)c1cnc(I)nc1
Pyrimidine,SO3,EWG,FC(F)(F)c1cnc(I)nc1
Pyrimidine,CONH2,EWG,NC(=O)c1cnc(I)nc1
Pyrimidine,COOH,EWG,O=C(O)c1cnc(I)nc1
Pyrimidine,NCH3+,EWG,C[N+](C)(C)c1cnc(I)nc1
Pyrimidine,NMe2,EDG,CN(C)c1cnc(I)nc1
Pyrimidine,NH2,EDG,Nc1cnc(I)nc1
Pyrimidine,OH,EDG,Oc1cnc(I)nc1
Pyrimidine,CH3,EDG,CC1=CN=C(I)N=C1
Pyrimidine,OTMS,EDG,C[Si](C)(C)OC1=CN=C(I)N=C1
Pyrimidine,NHCONH2,EDG,NC(=O)NC1=CN=C(I)N=C1
Pyrimidine,CCH33,EDG,CC(C)(C)C1=CN=C(I)N=C1
Pyrimidine,OPh,EDG,IC1=NC=C(OC2=CC=CC=C2)C=N1
BX-5,SF5,EWG,IC1=NC2=CC(S(F)(F)(F)(F)F)=CC=C2O1
BX-5,NO2,EWG,O=N(=O)c2ccc1oc(I)nc1c2
BX-5,CN,EWG,N#Cc2ccc1oc(I)nc1c2
BX-5,CF3,EWG,FC(F)(F)c2ccc1oc(I)nc1c2
BX-5,SO3,EWG,O=S(=O)(O)c2ccc1oc(I)nc1c2
BX-5,CONH2,EWG,NC(=O)c2ccc1oc(I)nc1c2
BX-5,COOH,EWG,O=C(O)c2ccc1oc(I)nc1c2
BX-5,NCH3+,EWG,C[N+](C)(C)C1=CC=C2OC(I)=NC2=C1
BX-5,NMe2,EDG,CN(C)C1=CC=C2OC(I)=NC2=C1
BX-5,NH2,EDG,NC1=CC=C2OC(I)=NC2=C1
BX-5,OH,EDG,OC1=CC=C2OC(I)=NC2=C1
BX-5,CH3,EDG,CC1=CC=C2OC(I)=NC2=C1
BX-5,OTMS,EDG,C[Si](C)(C)OC1=CC=C2OC(I)=NC2=C1
BX-5,NHCONH2,EDG,NC(=O)NC1=CC=C2OC(I)=NC2=C1
BX-5,CCH33,EDG,CC(C)(C)C1=CC=C2OC(I)=NC2=C1
BX-5,OPh,EDG,IC1=NC2=CC(OC3=CC=CC=C3)=CC=C2O1
BX-6,SF5,EWG,IC1=NC2=CC=C(S(F)(F)(F)(F)F)C=C2O1
BX-6,NO2,EWG,O=N(=O)c2ccc1nc(I)oc1c2
BX-6,CN,EWG,N#Cc2ccc1nc(I)oc1c2
BX-6,CF3,EWG,FC(F)(F)c2ccc1nc(I)oc1c2
BX-6,SO3,EWG,O=S(=O)(O)c2ccc1nc(I)oc1c2
BX-6,CONH2,EWG,NC(=O)c2ccc1nc(I)oc1c2
BX-6,COOH,EWG,O=C(O)c2ccc1nc(I)oc1c2
BX-6,NCH3+,EWG,C[N+](C)(C)C1=CC=C2N=C(I)OC2=C1
BX-6,NMe2,EDG,CN(C)C1=CC=C2N=C(I)OC2=C1
BX-6,NH2,EDG,NC1=CC=C2N=C(I)OC2=C1
BX-6,OH,EDG,OC1=CC=C2N=C(I)OC2=C1
BX-6,CH3,EDG,CC1=CC=C2N=C(I)OC2=C1
BX-6,OTMS,EDG,C[Si](C)(C)OC1=CC=C2N=C(I)OC2=C1
BX-6,NHCONH2,EDG,NC(=O)NC1=CC=C2N=C(I)OC2=C1
BX-6,CCH33,EDG,CC(C)(C)C1=CC=C2N=C(I)OC2=C1
BX-6,OPh,EDG,IC1=NC2=CC=C(OC3=CC=CC=C3)C=C2O1
BZ-5,SF5,EWG,IC1=NC2=CC(S(F)(F)(F)(F)F)=CC=C2S1
BZ-5,NO2,EWG,O=N(=O)c2ccc1sc(I)nc1c2
BZ-5,CN,EWG,N#Cc2ccc1sc(I)nc1c2
BZ-5,CF3,EWG,FC(F)(F)c2ccc1sc(I)nc1c2
BZ-5,SO3,EWG,O=S(=O)(O)c2ccc1sc(I)nc1c2
BZ-5,CONH2,EWG,NC(=O)c2ccc1sc(I)nc1c2
BZ-5,COOH,EWG,O=C(O)c2ccc1sc(I)nc1c2
BZ-5,NCH3+,EWG,C[N+](C)(C)C1=CC=C2SC(I)=NC2=C1
BZ-5,NMe2,EDG,CN(C)C1=CC=C2SC(I)=NC2=C1
BZ-5,NH2,EDG,NC1=CC=C2SC(I)=NC2=C1
BZ-5,OH,EDG,OC1=CC=C2SC(I)=NC2=C1
BZ-5,CH3,EDG,CC1=CC=C2SC(I)=NC2=C1
BZ-5,OTMS,EDG,C[Si](C)(C)OC1=CC=C2SC(I)=NC2=C1
BZ-5,NHCONH2,EDG,NC(=O)NC1=CC=C2SC(I)=NC2=C1
BZ-5,CCH33,EDG,CC(C)(C)C1=CC=C2SC(I)=NC2=C1
BZ-5,OPh,EDG,IC1=NC2=CC(OC3=CC=CC=C3)=CC=C2S1
BZ-6,SF5,EWG,IC1=NC2=CC=C(S(F)(F)(F)(F)F)C=C2S1
BZ-6,NO2,EWG,O=N(=O)c2ccc1nc(I)sc1c2
BZ-6,CN,EWG,N#Cc2ccc1nc(I)sc1c2
BZ-6,CF3,EWG,FC(F)(F)c2ccc1nc(I)sc1c2
BZ-6,SO3,EWG,O=S(=O)(O)c2ccc1nc(I)sc1c2
BZ-6,CONH2,EWG,NC(=O)c2ccc1nc(I)sc1c2
BZ-6,COOH,EWG,O=C(O)c2ccc1nc(I)sc1c2
BZ-6,NCH3+,EWG,C[N+](C)(C)C1=CC=C2N=C(I)SC2=C1
BZ-6,NMe2,EDG,CN(C)C1=CC=C2N=C(I)SC2=C1
BZ-6,NH2,EDG,NC1=CC=C2N=C(I)SC2=C1
BZ-6,OH,EDG,OC1=CC=C2N=C(I)SC2=C1
BZ-6,CH3,EDG,CC1=CC=C2N=C(I)SC2=C1
BZ-6,OTMS,EDG,C[Si](C)(C)OC1=CC=C2N=C(I)SC2=C1
BZ-6,NHCONH2,EDG,NC(=O)NC1=CC=C2N=C(I)SC2=C1
BZ-6,CCH33,EDG,CC(C)(C)C1=CC=C2N=C(I)SC2=C1
BZ-6,OPh,EDG,IC1=NC2=CC=C(OC3=CC=CC=C3)C=C2S1
